year;month;day;data
2009;12;18;[['sikala', 'löytyä', 'laiminlyönti'], ['kho', 'kumota', 'digita', 'päätös'], ['sopimusesitys', 'saada', 'sorvattu'], ['maatalousyritys', 'tulo', 'romahtaa'], ['hurricanes', 'ja', 'wild', 'tulo', 'suomi']]
2009;12;19;[['kööpenhamina', 'yhteisymmärrys'], ['sopu', 'puuttua', 'kunnianhimo'], ['vanhanen', 'ei', 'voi', 'riemuita'], ['lipponen', 'presidentti', 'valta', 'säilyä'], ['urheilulavantai', 'vauhti', 'tv2']]
2009;12;20;[['venetehdas', 'tuli', 'pietarsaari'], ['talvi', 'riepotella', 'eurooppa'], ['myrsky', 'kiusannut', 'usa', 'itärannikko'], ['halonen', 'kouluarvosana', 'laskea', 'hiukka'], ['kakkonen', 'urheilusunnuntai', 'tv2', '12', '00']]
2009;12;21;[['suomi', 'jättimätky', 'asekauppa'], ['huono', 'ajokeli', 'jatkua', 'etelä'], ['tuhat', 'osoittaa', 'mieli', 'iran'], ['hyinen', 'sää', 'kiusata', 'eurooppa']]
2009;12;22;[['talermolle', 'kenkä', 'amer', 'sportsista'], ['työllisyys', 'heiketä', 'marraskuu'], ['tuhat', 'yöpyä', 'kenttä', 'saksa'], ['hallitus', 'nimittää', 'aluehallintojohto'], ['alatalo', 'jättää', 'kärppä', 'kevät']]
2009;12;23;[['vanhanen', 'väistyä', 'keskustanjohdos'], ['junavuoro', 'peruttu', 'pyry', 'takia'], ['joulunalusmyräkkä', 'puurouttaa', 'tie'], ['matkustaa', 'matkustajakone', 'turma', 'jamaika'], ['bild', 'schumacher', 'pala', 'f1', 'rata']]
2009;12;24;[['kauppa', 'sulkea', 'jo', 'kello', '12'], ['huono', 'keli', 'haitta', 'yhä', 'liikenne'], ['kreikka', 'tiukka', 'säästöbudjetti'], ['filippiini', '37', 'kateissa', 'meri']]
2009;12;25;[['jouluyö', 'usea', 'rakennuspala'], ['häirikkönainen', 'vaarantaa', 'joulumessu'], ['finnair', 'kanaria', 'myrsky', 'ei', 'haitta'], ['kiina', 'toisinajattelija', 'vankila']]
2009;12;26;[['terrori', 'isku', 'yritys', 'lentokone'], ['lentoyhtiö', 'kiristavät', 'turvatoimi'], ['tsunami', 'kulunut', 'viisi', 'vuo'], ['huono', 'ajokeli', 'etelä', 'ja', 'itä'], ['joulu', 'sujunut', 'melko', 'rauhallinen'], ['lämpö', 'palata', 'suomussalmi']]
2009;12;27;[['usa', 'epäillä', 'terroristiajo', 'etukäsi'], ['teheränissä', 'suuri', 'mielenosoitus'], ['paluuliikenne', 'huono', 'ajokeli'], ['jouluale', 'kiihtyä', 'välipäivä'], ['jokinen', 'osua', 'kaksi', 'tappiopeli']]
2009;12;28;[['nordea', 'korvata', 'mermaid', 'lainoja'], ['teollisuus', 'pilkahdus', 'valo'], ['vanhanen', 'huomenna', 'julkisuus'], ['thaimaa', 'karkottanut', 'hmonge', 'ja'], ['poutiainen', 'suurpujottelurinne']]
2009;12;29;[['kh0lle', 'valitus', 'nord', 'streamista'], ['vanhanen', 'väistyä', 'kokonaisarvio'], ['laukkusuma', 'pahentunut', 'entinen'], ['kiina', 'teloittaa', 'brittimies']]
2009;12;30;[['matalapalkkainen', 'työ', 'olla', 'tunkua'], ['matkalaukkusuma', 'helpottaa', 'tänään'], ['obama', 'turvallisuus', 'järjestelmä', 'pettää'], ['japan', 'airlinesin', 'osake', 'romahtaa'], ['säkä', 'säästäjä', 'valitus', 'lisääntyä']]
2009;12;31;[['neljä', 'ihminen', 'kuoltu', 'espoo'], ['uutislähetys', 'tvi1', 'kei'], ['arkkiatri', 'puuttua', 'potilassurma'], ['armei', 'armeija', 'ei', 'ottaa', 'nainen', 'vakava'], ['236', 'tuukka', 'rask', 'nolla', 'atlanta']]
2009;04;22;[['krp', 'epäillä', 'isota', 'talousrikosvyyhti'], ['ulosmarssi', 'hidastaa', 'postinkulku'], ['saksa', 'alkaa', 'säilö', 'tuulivoimaa'], ['musiikki', 'myynti', 'pudota', 'selvä'], ['j', 'jokinen', 'ratkaista', 'viime', 'hetki'], ['palander', 'pala', 'kilparinne']]
2009;04;23;[['stora', 'enso', 'vähentää', 'jo', '2', '000'], ['suomi', 'uusia', 'ohjus', 'jättikauppa'], ['yle', 'rahoitusehdotus', 'julki', 'tänään'], ['anc', 'johtaa', 'etelä', 'afrikka'], ['boston', 'jatko', 'montreal', 'loma'], ['lehti', 'kalle', 'kerma', 'kalpa']]
2009;04;24;[['metsäala', 'povata', 'kova', 'aikoja'], ['teliasoneran', 'alkuvuosi', 'kohent'], ['kalifornia', 'suitsii', 'polttoaine'], ['paritusliiga', 'tuottaa', 'miljoona', 'euro'], ['detroit', 'jatko', 'puhdas', 'peli'], ['sebastien', 'loeb', 'yleisö', 'ek', 'nopea']]
2009;04;25;[['whd', 'koko', 'sikainfluenssa', 'takia'], ['um', 'varoittaa', 'meksiko', 'matkustava'], ['p', 'korea', 'ydinohjelma', 'käynnistyä'], ['digitan', 'huolto', 'sotkea', 'yle', 'kanava'], ['saku', 'koivu', 'ei', 'päästä', 'mm', 'turnaus'], ['road', 'racingin', 'aika', 'ajo', 'perua']]
